partition,train bal,train mean,test bal,test mean,train (fs),test (fs)
"0-4, 5-14, 15-27",0.9600559968601472,0.971401027431989,0.40514273996234895,0.573165265398217,0.9705626853415681,0.5556767344895441
"0, 1-9, 10-19, 20-27",0.9712356235071349,0.9680477128852175,0.3423277269779196,0.507340453242991,0.9663709456777141,0.508948282397006
"0-4, 5-9, 10-14, 15-27",0.9561290864409779,0.9546308291400697,0.3630285752719273,0.41760717828435406,0.9536059241097544,0.3925423961229895
base,0.9564743225157804,0.9511822495816254,0.30176713655528004,0.3641512154227523,0.9495050520572125,0.3672913798192498
"0, 1-4, 5-9, 10-14, 15-19, 20-27",0.9585238672594363,0.9470843417073546,0.2507938424485534,0.34814304415718594,0.9443826799841588,0.34585754875371305
