partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",97.1401027431989,57.31652653982171,96.00559968601472,40.51427399623489,97.05626853415681,55.56767344895441,96.0068887541747,39.48863674306507,34.435831180017225
"0, 1-9, 10-19, 20-27",96.80477128852174,50.73404532429912,97.12356235071348,34.23277269779195,96.63709456777141,50.8948282397006,96.8418192161477,34.390637451131674,24.944013781223084
"0-4, 5-9, 10-14, 15-27",95.46308291400697,41.7607178284354,95.61290864409779,36.30285752719273,95.36059241097544,39.25423961229895,95.57022527037114,34.309166174006776,24.728682170542633
base,95.11822495816253,36.41512154227522,95.64743225157802,30.176713655528005,94.95050520572124,36.72913798192498,95.36504969431714,30.436445243648592,20.103359173126616
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.70843417073544,34.814304415718595,95.85238672594363,25.07938424485534,94.43826799841588,34.58575487537131,95.5351214117637,24.61073150975423,16.993970714900946
