partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",97.1618386838533,62.10014600540032,96.26786998001019,47.86739219775546,96.7780349624452,60.26973644855079,95.71444128374657,47.03252531304364,32.787826586276196
"0, 1-9, 10-19, 20-27",96.70126874279123,59.47939313182317,96.9248807905659,39.182636964434785,96.47111853531135,56.73258994319377,96.73084512128253,37.94307552478485,25.035888601780073
"0-4, 5-9, 10-14, 15-27",95.5501199803789,45.672908338593174,95.63933071159443,41.25087970485175,95.08981956541913,44.64314935596232,95.09831195611065,40.22410087437887,25.638817111685327
base,94.97475311297984,41.546972550202845,95.36410412908522,40.17585790194003,94.74469159407418,42.23189334616925,95.12382450362668,41.132066443245066,20.15503875968992
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.7064541176893,35.39235880149571,95.74564467052295,27.330524166935557,94.13116657783343,35.733282133511565,95.1324242606362,27.783644246196477,16.480045937410278
