partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",96.98033828584136,62.23128256260544,96.00179619221957,48.95817641148305,96.48086938908922,60.191534695990555,95.25494271106558,47.52427991792547,33.34409991386736
"0, 1-9, 10-19, 20-27",96.48140099625711,57.90851393641237,96.6912122712528,40.79733551122811,96.23173999012552,57.091217896101384,93.8363041899025,40.66372717896283,24.784668389319553
"0-4, 5-9, 10-14, 15-27",95.23311494845947,44.87119181586466,95.55711044990066,40.429578955805,94.65062869518165,46.14668050396478,94.83744747393413,41.79090961139737,25.333763996554694
base,94.63864494019808,38.933786789291375,95.00369212647144,37.07466078895612,94.3295623273606,38.691973353670605,94.7263183586796,37.68273627346181,19.799741602067186
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.3175530982042,37.91110297417637,95.45597515935847,31.61216041917796,93.65183637787206,37.08628058685399,94.69735510102048,30.312217408160386,15.676141257536607
