partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",97.03792059930213,63.00600089565607,95.96932059988538,49.65665613737063,96.63219973346736,61.06965218689356,95.30219437533935,48.53208487880154,33.76399655469423
"0, 1-9, 10-19, 20-27",96.5511759216044,59.394308538746714,96.4554183302501,38.784618530852185,96.30768479976939,55.84841112249264,95.49435488716841,36.54614900374712,24.42721791559001
"0-4, 5-9, 10-14, 15-27",95.33435618273204,43.22613513663464,95.43518350781176,38.914878402250395,94.8068863205581,45.158759938713935,94.81116736985419,40.30507679837467,24.978466838931958
base,94.74545308386682,39.516407168155965,95.13151269004545,38.02301146333418,94.46143578001566,39.641748044907644,94.87938364430343,37.8784443434919,20.602928509905254
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.4410167848782,36.330619845703644,95.6026343456846,28.1777528654351,93.79201009411749,36.66771243269028,94.92101754082123,27.824747088637974,16.91645133505599
