partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",96.99344932841481,62.420640525985156,95.87370366988598,48.927682401223116,96.6486346879798,63.07520991746195,95.27649046531768,49.773036127520996,33.394856650670604
"0, 1-9, 10-19, 20-27",96.49681131192506,58.2356064075489,96.68134105559214,39.20581873041472,96.24853619941648,56.07869932686291,95.18554733960138,38.95467577497214,24.81850621385505
"0-4, 5-9, 10-14, 15-27",95.2558191499639,43.88631914620641,95.39885699754002,39.962734425993,94.67665246816685,44.67300934554196,94.70346278447911,40.074584587234085,25.335302079488127
base,94.66299832012278,39.311047686842905,95.00591180086506,37.33874491116147,94.33201459708414,38.510212790203944,94.70451196670969,36.676141793069505,20.216562077027195
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.3456310535422,37.06811005392707,95.53291198546671,30.472938226639886,93.76643806419595,36.94936097950965,94.9210165017847,30.19593111132921,16.180632459702224
