partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",96.96310596690576,61.57107472047401,95.86151509534078,48.43801617641632,96.59038652107698,60.45084971520348,95.2369184254367,48.131667725390045,33.738156761412576
"0, 1-9, 10-19, 20-27",96.4600981501048,57.16420968890467,96.59821676950173,42.589997016665826,96.20862219077326,57.247871916158566,94.71171324072984,42.74950367344462,25.185185185185187
"0-4, 5-9, 10-14, 15-27",95.20222713099596,43.20409343661554,95.39014877389118,39.10378341552886,94.61526904213453,45.053297315441064,94.64510315665278,40.44291055525569,24.86649440137812
base,94.60583277964876,39.35732393290917,95.00004634664609,38.68565540573744,94.27043672720647,39.922991498864405,94.6121956093131,39.27881210965852,19.888027562446165
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.27989441236393,36.64284749862046,95.42122941894429,30.55207964182973,93.6091561526765,37.20719887757858,94.68572420125062,30.58325890223684,17.011197243755383
