partition,train bal,train mean,test bal,test mean
"0-4, 5-14, 15-27",0.9586151509534078,0.9696310596690576,0.4843801617641632,0.6157107472047401
"0, 1-9, 10-19, 20-27",0.9659821676950173,0.964600981501048,0.4258999701666582,0.5716420968890467
"0-4, 5-9, 10-14, 15-27",0.9539014877389119,0.9520222713099595,0.39103783415528853,0.4320409343661554
base,0.9500004634664609,0.9460583277964876,0.38685655405737446,0.3935732393290917
"0, 1-4, 5-9, 10-14, 15-19, 20-27",0.9542122941894429,0.9427989441236393,0.3055207964182974,0.36642847498620457
