partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",97.0814148269782,60.76791493171692,96.26542013757027,47.50676596776674,96.73609121988736,61.56725650681717,95.81439495348084,48.57674612309406,33.78552971576227
"0, 1-9, 10-19, 20-27",96.60248165175571,55.679781894024444,96.83887556622207,36.17159435635378,96.36371156396012,55.221065903982904,93.12669397667247,36.380672274748,24.67700258397933
"0-4, 5-9, 10-14, 15-27",95.40978437440765,43.872074873999004,95.76200412797826,39.57825916772428,94.90592614148247,44.348922792435715,95.16634957673682,39.38298863919385,25.107665805340226
base,94.8253451931444,40.768420030390615,95.25948337425025,38.9088635318195,94.55989588565369,40.08662565075158,94.95748841310291,39.3242386113093,21.27476313522825
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.53241984708067,37.442517198873055,95.66225710133259,28.977073248147786,94.00146416624403,37.790176781649336,95.16030622188774,29.457327092532065,16.343669250645995
