partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",96.97043378961585,60.933075588961906,95.95781228512685,48.31348161864439,96.58409769967366,61.31237769817815,95.31367547591162,48.608034906213064,32.58685041630778
"0, 1-9, 10-19, 20-27",96.46951432238903,57.113696424556984,96.67859384860287,40.582769511829454,96.21876888873157,57.3465602232541,94.11523098761319,41.82904962816664,25.045458895588094
"0-4, 5-9, 10-14, 15-27",95.2158275710797,43.95212845984164,95.35279713145263,39.81759226751492,94.6308829155077,44.54492352779312,94.65630525688874,39.91754635728362,25.074169777012155
base,94.62045779153893,39.768750351591464,95.02393813496855,37.6665004770844,94.28617057807516,39.050545992368285,94.667679691179,37.3575807246662,20.499569336778638
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.2967780275077,35.68772321708821,95.38626759342644,29.094000761891397,93.64908879642326,35.80322244460814,94.70875155139069,29.501618656108544,16.843717102115036
