partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",97.05626853415681,57.01824340964616,95.995625084713,39.879445346792224,97.05626853415681,55.71698948806553,96.00696527849604,39.48636614274791,33.359173126614984
"0, 1-9, 10-19, 20-27",96.63709456777141,52.0228611877767,96.829571049872,35.02991158045715,96.63709456777141,50.28942352062801,96.8283640609087,33.95190046353397,24.78897502153316
"0-4, 5-9, 10-14, 15-27",95.37923175614901,42.59920476946282,95.55577537464241,36.93300043562412,95.37923175614901,40.735237807113684,95.58466782523294,35.37774648726573,24.866494401378127
base,94.95050520572124,36.3833905742925,95.35924165933916,30.16172246722251,94.95050520572124,36.83501739662792,95.36485925346938,30.510797910578408,19.448751076658056
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.45689864987257,35.72345402885891,95.59227178880369,25.356950593829406,94.45689864987257,34.47211851173494,95.56759149591822,24.525994163515072,16.890611541774334
