partition,train,test,train bal,test bal,train (fs),test (fs),train bal (fs),test bal (fs),train (rand)
"0-4, 5-14, 15-27",97.36906547491506,62.691130701338246,96.18593153702719,48.98065512862743,97.16206495454406,62.58087050813528,95.86615062170719,49.76955559756742,32.34280792420327
"0, 1-9, 10-19, 20-27",96.95712309820193,59.01826484018265,97.1775364540112,39.317176925646024,96.74965421853389,59.24657534246576,94.10154994549362,39.43146060213044,25.193798449612405
"0-4, 5-9, 10-14, 15-27",95.92044045851762,45.09025609482754,95.90736829653768,40.84876461014838,95.436441131908,46.34987984966874,95.41874517524002,41.187144194384295,24.203273040482344
base,95.4373976523163,38.69440115094113,95.62561122373145,37.46958422701146,95.29908480127332,38.81038140562856,95.48223524667907,37.88630343298017,20.714900947459086
"0, 1-4, 5-9, 10-14, 15-19, 20-27",95.15905947441217,36.757990867579906,96.22536253498683,27.953008759537973,94.67496542185339,38.242009132420094,95.84546860593542,29.334776797326562,16.925064599483203
