partition,train bal,train mean,test bal,test mean,train (fs),test (fs)
"0-4, 5-14, 15-27",0.95995625084713,0.970562685341568,0.3987944534679222,0.5701824340964616,0.9705626853415681,0.5571698948806553
"0, 1-9, 10-19, 20-27",0.96829571049872,0.966370945677714,0.3502991158045715,0.5202286118777669,0.9663709456777141,0.5028942352062802
"0-4, 5-9, 10-14, 15-27",0.9555577537464242,0.9537923175614902,0.3693300043562412,0.4259920476946283,0.9537923175614901,0.40735237807113683
base,0.9535924165933917,0.9495050520572124,0.3016172246722251,0.3638339057429249,0.9495050520572125,0.36835017396627917
"0, 1-4, 5-9, 10-14, 15-19, 20-27",0.9559227178880366,0.9445689864987257,0.2535695059382941,0.35723454028858914,0.9445689864987257,0.3447211851173494
