,Unnamed: 0,participant_id,date,category,duration
120,120,EN00039,2016-12-26,home,18780.0
121,121,EN00039,2016-12-27,home,39840.0
122,122,EN00039,2016-12-27,none,0.0
123,123,EN00039,2016-12-28,home,57899.0
124,124,EN00039,2016-12-28,none,23340.0
125,125,EN00039,2016-12-29,home,63900.00000000001
126,126,EN00039,2016-12-29,none,14759.000000000002
127,127,EN00039,2016-12-30,none,83640.0
128,128,EN00039,2016-12-31,home,16740.0
129,129,EN00039,2016-12-31,none,11040.0
130,130,EN00039,2017-01-01,home,1440.0
131,131,EN00039,2017-01-01,none,30960.0
132,132,EN00039,2017-01-06,home,0.0
133,133,EN00039,2017-01-06,other,0.0
134,134,EN00039,2017-01-07,home,0.0
135,135,EN00039,2017-01-07,none,240.00000000000003
136,136,EN00039,2017-01-09,home,26699.0
137,137,EN00039,2017-01-09,none,0.0
138,138,EN00039,2017-01-10,home,44879.0
139,139,EN00039,2017-01-10,none,0.0
140,140,EN00039,2017-01-11,home,86399.0
141,141,EN00039,2017-01-12,home,86399.0
142,142,EN00039,2017-01-13,home,29400.000000000004
143,143,EN00039,2017-01-13,none,33779.0
144,144,EN00039,2017-01-14,home,0.0
145,145,EN00039,2017-01-14,none,55140.0
146,146,EN00039,2017-01-15,home,15419.000000000002
147,147,EN00039,2017-01-15,none,28620.0
148,148,EN00039,2017-01-16,home,25799.0
149,149,EN00039,2017-01-16,none,2100.0
150,150,EN00039,2017-01-17,home,72899.0
151,151,EN00039,2017-01-17,none,0.0
152,152,EN00039,2017-01-18,home,79499.0
153,153,EN00039,2017-01-18,none,0.0
154,154,EN00039,2017-01-19,home,7260.0
155,155,EN00039,2017-01-19,none,0.0
156,156,EN00039,2017-01-20,home,3360.0
157,157,EN00040,2016-08-18,other,60.00000000000001
158,158,EN00040,2016-08-19,none,22320.0
159,159,EN00040,2016-08-22,none,54659.0
160,160,EN00040,2016-08-23,none,79680.0
161,161,EN00040,2016-08-23,other,5699.0
162,162,EN00040,2016-08-24,other,4740.0
163,163,EN00041,2016-09-12,home,3180.0
164,164,EN00041,2016-09-12,none,1920.0
165,165,EN00041,2016-09-13,home,0.0
166,166,EN00041,2016-09-13,none,10260.0
167,167,EN00041,2016-09-14,none,22380.0
168,168,EN00041,2016-09-14,other,6120.0
169,169,EN00041,2016-09-15,home,19380.0
170,170,EN00041,2016-09-15,none,2100.0
171,171,EN00041,2016-09-16,home,1800.0
172,172,EN00041,2016-09-16,none,51419.0
173,173,EN00041,2016-09-17,home,21719.0
174,174,EN00041,2016-09-17,none,43860.0
175,175,EN00041,2016-09-18,home,53100.0
176,176,EN00041,2016-09-18,none,1800.0
177,177,EN00041,2016-09-19,home,22019.0
178,178,EN00041,2016-09-19,none,19140.0
179,179,EN00041,2016-09-20,home,9300.0
180,180,EN00041,2016-09-20,none,23280.0
181,181,EN00041,2016-09-21,home,12959.0
182,182,EN00041,2016-09-21,none,7380.000000000001
183,183,EN00041,2016-09-22,home,51479.0
184,184,EN00041,2016-09-22,none,15240.0
185,185,EN00041,2016-09-23,home,40800.0
186,186,EN00041,2016-09-23,none,36539.0
187,187,EN00041,2016-09-24,home,4920.0
188,188,EN00041,2016-09-24,none,29460.000000000004
189,189,EN00041,2016-09-25,home,20759.0
190,190,EN00041,2016-09-25,none,24360.0
191,191,EN00041,2016-09-26,home,76679.00000000001
192,192,EN00041,2016-09-26,none,0.0
193,193,EN00041,2016-09-27,home,63599.0
194,194,EN00041,2016-09-27,none,18000.0
195,195,EN00041,2016-09-28,home,50639.0
196,196,EN00041,2016-09-28,none,20280.0
197,197,EN00041,2016-09-29,home,22980.0
198,198,EN00041,2016-09-29,none,50339.0
199,199,EN00041,2016-09-30,none,86399.0
200,200,EN00041,2016-10-01,none,86399.0
201,201,EN00041,2016-10-02,none,86399.0
202,202,EN00041,2016-10-03,none,86399.0
203,203,EN00041,2016-10-04,home,16379.000000000002
204,204,EN00041,2016-10-04,none,65580.0
205,205,EN00041,2016-10-05,home,25560.0
206,206,EN00041,2016-10-05,none,26519.0
207,207,EN00041,2016-10-06,home,16499.0
208,208,EN00041,2016-10-06,none,64200.00000000001
209,209,EN00041,2016-10-07,home,28140.0
210,210,EN00041,2016-10-07,none,34320.0
211,211,EN00041,2016-10-08,home,0.0
212,212,EN00041,2016-10-08,none,43139.0
213,213,EN00041,2016-10-09,home,7680.000000000001
214,214,EN00041,2016-10-09,none,57300.0
215,215,EN00041,2016-10-10,home,11400.0
216,216,EN00041,2016-10-10,none,19799.0
217,217,EN00041,2016-10-11,home,25019.0
218,218,EN00041,2016-10-11,none,47280.0
219,219,EN00041,2016-10-12,home,56040.0
220,220,EN00041,2016-10-12,none,0.0
221,221,EN00041,2016-10-13,home,0.0
222,222,EN00041,2016-10-13,none,25800.0
223,223,EN00041,2016-10-14,home,32280.000000000004
224,224,EN00041,2016-10-14,none,17879.0
225,225,EN00041,2016-10-15,home,19139.0
226,226,EN00041,2016-10-15,none,42780.0
227,227,EN00041,2016-10-16,home,39960.0
228,228,EN00041,2016-10-16,none,21839.0
229,229,EN00041,2016-10-17,home,0.0
230,230,EN00041,2016-10-17,none,71220.0
231,231,EN00041,2016-10-18,home,35339.0
232,232,EN00041,2016-10-18,none,10320.0
233,233,EN00041,2016-10-19,home,6479.0
234,234,EN00041,2016-10-19,none,31320.000000000004
235,235,EN00041,2016-10-20,home,7500.000000000001
236,236,EN00041,2016-10-20,none,13380.0
237,237,EN00041,2016-10-21,home,0.0
238,238,EN00041,2016-10-21,none,19380.0
239,239,EN00041,2016-10-22,home,0.0
240,240,EN00041,2016-10-23,home,17879.0
241,241,EN00041,2016-10-23,none,28620.0
242,242,EN00041,2016-10-24,home,25140.0
243,243,EN00046,2016-09-12,home,13860.0
244,244,EN00046,2016-09-12,none,0.0
245,245,EN00046,2016-09-13,none,17940.0
246,246,EN00046,2016-09-14,home,3600.0
247,247,EN00046,2016-09-14,none,1260.0
248,248,EN00046,2016-09-15,home,0.0
249,249,EN00046,2016-09-15,none,25559.0
250,250,EN00046,2016-09-16,home,0.0
251,251,EN00046,2016-09-16,none,67500.0
252,252,EN00046,2016-09-17,home,5879.0
253,253,EN00046,2016-09-17,none,30600.000000000004
254,254,EN00046,2016-09-18,home,34680.0
255,255,EN00046,2016-09-18,none,31200.000000000004
256,256,EN00046,2016-09-19,home,7739.000000000001
257,257,EN00046,2016-09-19,none,33720.0
258,258,EN00046,2016-09-20,home,30419.0
259,259,EN00046,2016-09-20,none,10440.0
260,260,EN00046,2016-09-21,home,45539.0
261,261,EN00046,2016-09-21,none,19860.0
262,262,EN00046,2016-09-22,home,38639.0
263,263,EN00046,2016-09-22,none,16740.0
264,264,EN00046,2016-09-23,home,39599.0
265,265,EN00046,2016-09-23,none,30600.000000000004
266,266,EN00046,2016-09-24,home,54479.0
267,267,EN00046,2016-09-24,none,12180.0
268,268,EN00046,2016-09-25,home,29280.0
269,269,EN00046,2016-09-25,none,0.0
270,270,EN00046,2016-09-26,home,12840.0
271,271,EN00046,2016-09-26,none,2760.0
