,test_results,train_results,test_errs,train_errs,halflife_list
0,0.3675841795203908,0.9753623280303712,0.05778926113234723,0.002051723488083962,base
1,0.3744421715336198,0.9783374747060565,0.06435892142981467,0.001932930533103194,1 days
2,0.4004292040351685,0.9792346081814809,0.06496152800100348,0.0019923705493194214,3 days
3,0.38918688434768745,0.9792346081814809,0.06504520407845892,0.0019923705493194214,7 days
4,0.3954059059318981,0.9792346081814809,0.08062352707466515,0.0019923705493194214,10 days
5,0.40134033931565866,0.9792946249983425,0.07559760819386897,0.001964964507987136,12 days
6,0.39228294581310386,0.9792946249983425,0.08167292176273556,0.001964964507987136,13 days
7,0.39888773048516485,0.979177055259771,0.0703856936722448,0.002039012229298076,14 days
8,0.392426748098376,0.9792346081814809,0.07718617043481789,0.0019923705493194214,15 days
9,0.39242632266828037,0.979177055259771,0.08175081231740938,0.002039012229298076,16 days
10,0.3956526173166551,0.9792346081814809,0.07619853108806529,0.0019923705493194214,20 days
11,0.378714861079528,0.9782813850562224,0.07660847699205445,0.002060924975114615,30 days
