,test_results,train_results,test_errs,train_errs,aggregate_previous_num
0,0.39223772619398645,0.9675069965122294,0.05837487688678292,0.0020699161043596687,base
1,0.39223772619398645,0.9675069965122294,0.05837487688678292,0.0020699161043596687,0
2,0.39223772619398645,0.9675069965122294,0.05837487688678292,0.0020699161043596687,1
3,0.39107969125096026,0.9727477129828965,0.07053918772052356,0.002003703683575634,2
4,0.40181354489291266,0.9738185023358451,0.0731773405480871,0.002304632811522555,3
5,0.38714742208909897,0.9759464084154785,0.06648677949165097,0.0019529586175504854,4
6,0.40448521305000434,0.9748404043942422,0.07113034348773309,0.0023693578735244697,5
7,0.4029348262259588,0.9764284750348615,0.07111097611163233,0.0019450696027931453,6
8,0.4000235588555583,0.9766008268517569,0.07090883363303535,0.0019632481398240615,7
9,0.3874935015012986,0.9771784174970112,0.0879223266886597,0.001991582593565297,8
10,0.3853764348514733,0.9773238764055818,0.08879598071550009,0.0018931339986207477,9
11,0.39274796799669065,0.9773566193173228,0.09457029601095618,0.0018440338112809742,10
12,0.40137185438028944,0.9774055574546596,0.07788540471566012,0.0016681288367194264,11
13,0.397408511271785,0.9774055574546596,0.07741429227751297,0.0016681288367194264,12
14,0.397408511271785,0.9774055574546596,0.07741429227751297,0.0016681288367194264,13
15,0.397408511271785,0.9774055574546596,0.07741429227751297,0.0016681288367194264,14
