,test_results,train_results,test_errs,train_errs,span
0,0.3675841795203908,0.9753623280303712,0.05778926113234723,0.002051723488083962,base
1,0.3675841795203908,0.9753623280303712,0.05778926113234723,0.002051723488083962,1
2,0.4041856347201221,0.979177055259771,0.0629125938857091,0.002039012229298076,2
3,0.3838666428161906,0.9792946249983425,0.07805664554847128,0.001964964507987136,3
4,0.40122854803562485,0.9792346081814809,0.07590283850804255,0.0019923705493194214,4
5,0.3850748257533797,0.9792346081814809,0.0693101903841964,0.0019923705493194214,5
6,0.3947959446175376,0.979177055259771,0.07374526946132261,0.002039012229298076,6
7,0.3874768314973121,0.979361780407151,0.07924353009881191,0.001950226087592584,7
8,0.39945041951445726,0.9792346081814809,0.07278878389289259,0.0019923705493194214,8
9,0.4040096329424575,0.9792346081814809,0.07471528789145286,0.0019923705493194214,9
10,0.3994591465113259,0.979177055259771,0.07498589619499922,0.002039012229298076,10
11,0.39468144844067365,0.979177055259771,0.07239788910738963,0.002039012229298076,11
12,0.4012011602512174,0.979177055259771,0.060586512344321185,0.002039012229298076,12
13,0.4052045165476216,0.979177055259771,0.05873755938675258,0.002039012229298076,13
14,0.39403265637252677,0.9792946249983425,0.07436965623850142,0.001964964507987136,14
15,0.3985429933285344,0.9793521779200527,0.06612781272479909,0.0019129877386691273,15
16,0.40659088611674965,0.9793521779200527,0.07060244030970839,0.0019129877386691273,20
17,0.3924463601937009,0.9792346081814809,0.07428079889651,0.0019923705493194214,30
