,test_results,train_results,test_errs,train_errs,span
0,0.4215718432243534,0.9381004184066699,0.07488308541631428,0.0026744517020640462,base
1,0.4215718432243534,0.9381004184066699,0.07488308541631428,0.0026744517020640462,1
2,0.4340262632938077,0.9534138386627908,0.07982782649064923,0.002361864051331516,2
3,0.43266722342780684,0.9535201657732453,0.07930436004869103,0.002414110656834637,3
4,0.4316424940106415,0.9536594453809139,0.08361862357376543,0.002079224537187338,4
5,0.43392805167456727,0.953888951961598,0.08158069815937753,0.002433108889726063,5
6,0.4196931906446997,0.9538262004164716,0.07810200028980739,0.002196602415472617,6
7,0.4271958990285626,0.9536867777190098,0.08743516636052685,0.002272782531738167,7
8,0.4283197085523721,0.953642199904143,0.08903684741764517,0.0023130048271780656,8
9,0.42605260049702876,0.9536064555105753,0.07977844564178502,0.0019725578886740586,9
10,0.4266436670311693,0.9536746308550365,0.0811998991134333,0.002277542730514983,10
11,0.4268745472620495,0.953710600095541,0.08795665031783048,0.002570604825918918,11
12,0.4272998099184317,0.9538031627955281,0.08703722844886125,0.0023669047411302257,12
13,0.4242888283214919,0.9536849456808303,0.0897875466661873,0.002534260554788269,13
14,0.4372284113438335,0.9537798585988201,0.09274679744761771,0.0024609617742654675,14
15,0.4372517841338097,0.953841365911102,0.09323959031204306,0.002581583572086605,15
16,0.43183591111793673,0.953690423467731,0.09144295134328764,0.0026069193253201207,20
17,0.42817541771775874,0.9539593822229042,0.09187262588835636,0.0024198081546482468,30
