,test_results,train_results,test_errs,train_errs,halflife_list
0,0.39223772619398645,0.9675069965122294,0.05837487688678292,0.0020699161043596687,base
1,0.3722364713428864,0.9772139312521386,0.055925730567139294,0.0017811299433060444,1 days
2,0.3855436449816628,0.9771845382462871,0.061586446225825174,0.002004475479495737,3 days
3,0.3939927318625166,0.977096361513567,0.07785551269790597,0.001911015539926155,7 days
4,0.38642913543001356,0.977122983676032,0.07359443535853856,0.001907324334832803,10 days
5,0.3872213727437279,0.9772684425846023,0.07222277549266477,0.001750675936974296,12 days
6,0.40070999722055267,0.9771842675004272,0.06062478596763579,0.0018083006084638755,13 days
7,0.39933072444820594,0.9771133914521435,0.06348061723553579,0.002049749470082499,14 days
8,0.39659734426874244,0.977184780242057,0.0667413993649445,0.0015891939483435318,15 days
9,0.3973110673922112,0.977184780242057,0.0634234398340246,0.0015891939483435318,16 days
10,0.39228088507960773,0.9773287301473239,0.0679407964228116,0.0018688452291747526,20 days
11,0.38815522484847087,0.9773566193173228,0.07520030352030065,0.0018440338112809742,30 days
