partition,train,test,train bal,test bal,train (base),test (base),train bal (base),test bal (base)
P0,0.944576139203728,0.4892546047900739,0.9486548371507896,0.47171764346764344,0.30852483797126157,0.3421409191706674,0.2,0.20500000000000002
P1,0.9692960383105165,0.7148221740777962,0.9585296225505215,0.6799007582831113,0.5552927567127439,0.5699995524215913,0.33333333333333337,0.33333333333333337
P2,0.9637548023968996,0.6965579382026158,0.9654042647752613,0.5842951955451954,0.4538596543534137,0.37707506636292243,0.25,0.3166666666666667
P3,0.9509981759492281,0.580714616162892,0.9526415450770875,0.5481556637806637,0.3307829843887835,0.2474821404648991,0.25,0.25
P4,0.9415859857360493,0.5053814521310773,0.9530153454386638,0.4417575757575758,0.3024558197306916,0.3409999236146163,0.16666666666666669,0.19333333333333333
P5,0.9415850483915232,0.5343619268582083,0.944855495670051,0.4991825396825396,0.3024550354073259,0.3395935596842347,0.2,0.2
