partition,train,test,train bal,test bal,train (base),test (base),train bal (base),test bal (base)
P0,0.6902404259614214,0.41806192017918137,0.689344162896157,0.4371963484743862,0.30790188624162995,0.32561071818962933,0.2,0.2
P1,0.8352031976056988,0.6538697814706007,0.7879281288577016,0.5524680314185317,0.555058940788695,0.5616817363781372,0.33333333333333337,0.33333333333333337
P2,0.7958884718660869,0.590806890178135,0.6566687626233523,0.48007657542397597,0.4543515605943308,0.42590843400094675,0.25,0.2833333333333333
P3,0.7438997247142124,0.4779091443733326,0.7352181492844952,0.4427098299254162,0.33072578847564116,0.3083592597199636,0.25,0.25
P4,0.6817593485205087,0.37785741960480435,0.6260241609349977,0.33602623417728367,0.30147228192447467,0.32425034928909396,0.16666666666666669,0.18
P5,0.6890266069307092,0.39611485977824407,0.6922051405623402,0.39130508498171,0.30147131207467587,0.3241090522961209,0.2,0.2
