partition,train,test,train bal,test bal,train (base),test (base),train bal (base),test bal (base)
P0,0.9495050520572124,0.3638339057429249,0.9535924165933917,0.3016172246722251,0.30790188624162995,0.32561071818962933,0.2,0.2
P1,0.970562685341568,0.5701824340964616,0.95995625084713,0.3987944534679222,0.555058940788695,0.5616817363781372,0.33333333333333337,0.33333333333333337
P2,0.966370945677714,0.5202286118777669,0.96829571049872,0.3502991158045715,0.4543515605943308,0.42590843400094675,0.25,0.2833333333333333
P3,0.9537923175614902,0.4259920476946283,0.9555577537464242,0.3693300043562412,0.33072578847564116,0.3083592597199636,0.25,0.25
P4,0.9445689864987257,0.35723454028858914,0.9559227178880366,0.2535695059382941,0.30147228192447467,0.32425034928909396,0.16666666666666669,0.18
P5,0.9445673488765152,0.3547629845152638,0.9482355304960306,0.27826072654335554,0.30147131207467587,0.3241090522961209,0.2,0.2
