partition,train,test,train bal,test bal,train (base),test (base),train bal (base),test bal (base)
P0,0.9511822495816254,0.3641512154227523,0.9564743225157804,0.30176713655528004,0.30790188624162995,0.32561071818962933,0.2,0.2
P1,0.971401027431989,0.573165265398217,0.9600559968601472,0.40514273996234895,0.555058940788695,0.5616817363781372,0.33333333333333337,0.33333333333333337
P2,0.9680477128852175,0.507340453242991,0.9712356235071349,0.3423277269779196,0.4543515605943308,0.42590843400094675,0.25,0.2833333333333333
P3,0.9546308291400697,0.41760717828435406,0.9561290864409779,0.3630285752719273,0.33072578847564116,0.3083592597199636,0.25,0.25
P4,0.9470843417073546,0.34814304415718594,0.9585238672594363,0.2507938424485534,0.30147228192447467,0.32425034928909396,0.16666666666666669,0.18
P5,0.9470827078037504,0.3569463050656766,0.9508266497526578,0.2853995329099881,0.30147131207467587,0.3241090522961209,0.2,0.2
